index,name,address,city,postalCode,phone,mobile,business_page,logo
0,Miyabi Sushi & Bento,"Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road","Dubai, UAE ",391073,"+9704-3868444,800MIYABI",+97050-2563842,https://www.yellowpages-uae.com/miyabi-sushi-bento-153749.html,https://media.yellowpages-uae.com/wfile/webplogo/300762.webp
1,101 Parathas,"Near Grand Hotel, Abu Shagara","Sharjah, UAE ",None,+9706-5538106,+9706-5538136,https://www.yellowpages-uae.com/101-parathas-175272.html,
2,18 Buffet,Al Garhoud,"Dubai, UAE ",None,+9704-2999115,+97None,https://www.yellowpages-uae.com/18-buffet-147330.html,
3,18 Degree,"Hyatt Capital Gate, Al Arabi Street","Abu Dhabi, UAE ",None,+9702-5961440,+97None,https://www.yellowpages-uae.com/18-degree-175665.html,
4,24h.ae Online Food Delivery Services,Al Barsha,"Dubai, UAE ",357347,+9704-4572307,+97None,https://www.yellowpages-uae.com/24h-ae-online-food-delivery-services-148551.html,
5,4 Guys,None,"Dubai, UAE ",None,+9704-4357377,+97None,https://www.yellowpages-uae.com/4-guys-147691.html,
6,55 & 5th Restaurant,Saadiyat Island,"Abu Dhabi, UAE ",None,+9702-4988008,+97None,https://www.yellowpages-uae.com/55-5th-restaurant-175732.html,
7,77 Veggie Boutique,"Boutique 11, Tiffany Tower, JLT","Dubai, UAE ",644817,+9704-4224116,+97None,https://www.yellowpages-uae.com/77-veggie-boutique-152094.html,
8,800 Pizza,None,"Dubai, UAE ",None,+9780074992,+97None,https://www.yellowpages-uae.com/800-pizza-175280.html,
9,Aangan Restaurant,"Dhow Palace Hotel, Bur Dubai","Dubai, UAE ",None,+9704-3599992,+97None,https://www.yellowpages-uae.com/aangan-restaurant-175630.html,
10,Abdul Aziz Restaurant,Sanaiya,"Al Ain, UAE ",16935,+9703-7211335,+97None,https://www.yellowpages-uae.com/abdul-aziz-restaurant-131916.html,
11,Abdulla Zaid Restaurant,"Next to Al Shook Recording, Al Sham","Ras Al Khaimah, UAE ",6744,+9707-2666693,+97None,https://www.yellowpages-uae.com/abdulla-zaid-restaurant-134635.html,
12,Abdullas Food Court,"US Accommodation, JAFZA","Jebel Ali, UAE ",18009,+9704-8833115,+97None,https://www.yellowpages-uae.com/abdullas-food-court-148309.html,
13,Abeer Cafeteria,"Al Rafaa Rd, Bur Dubai","Dubai, UAE ",None,+9704-3557715,+97050-5284843,https://www.yellowpages-uae.com/abeer-cafeteria-172952.html,
14,Abshar Iranian Restaurant,Jumeirah,"Dubai, UAE ",56484,+9704-3940950,+97None,https://www.yellowpages-uae.com/abshar-iranian-sweets-llc--149341.html,
15,Abshar Restaurant LLC,"Al Butin Plaza, Al Maktoum St, Deira","Dubai, UAE ",63788,+9704-2230555,+97None,https://www.yellowpages-uae.com/abshar-restaurant-llc-122743.html,
16,Abu Fadi Restaurant,Jamal Abdel Naser St,"Sharjah, UAE ",82122,+9706-5535702,+97None,https://www.yellowpages-uae.com/abu-fadi-restaurant-151047.html,
17,Abu Hamdan Catering Services LLC,"1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah","Abu Dhabi, UAE ",37471,+9702-5575757,+97None,https://www.yellowpages-uae.com/abu-hamdan-catering-services-llc-154130.html,
18,Abu Khalid Restaurant,"Sona Bazaar, Park Rd","Fujairah, UAE ",456,+9709-2224592,+97None,https://www.yellowpages-uae.com/abu-khalid-restaurant-138876.html,
19,Abu Nasar Restaurant,TCA,"Abu Dhabi, UAE ",None,+9702-6452229,+97None,https://www.yellowpages-uae.com/abu-nasar-restaurant-147960.html,
20,Abu Shakra Restaurant,Istiqlal St,"Abu Dhabi, UAE ",8090,+9702-6313400,+97None,https://www.yellowpages-uae.com/abu-shakra-restaurant-128470.html,
